Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Montoril, Michel Helcias; Souza, EA; ",Estatística gradiente: propriedades e aplicações,Rev Bras Biometr,31,1,43-60,2013,
"Viana, Yasmin; Amorim, Thiago Orion Simões; de Castro, Franciele Rezende; Wedekin, Leonardo; Paro, Alexandre Douglas; Montoril, Michel Helcias; Rossi-Santos, Marcos; Andriolo, Artur; ",Are dolphins modulating whistles in interspecific group contexts?,Bioacoustics,31,6,668-679,2022,Taylor & Francis
"Morettin, Pedro A; Chiann, Chang; Montoril, Michel H; ",Wavelet Estimation of Functional-coefficient Regression Models,29th International Workshop on Statistical Modelling,,,231,2014,
"Motta, Flávia Castro; Montoril, Michel Helcias; ",Identifying regime switches through Bayesian wavelet estimation: evidence from flood detection in the Taquari River Valley,arXiv preprint arXiv:2307.14828,,,,2023,
"Reis, Victor Candido; Izbicki, Rafael; ",Spectral smooth tests for goodness-of-fit,arXiv preprint arXiv:2308.06601,,,,2023,
"Belitsky, Ian Tikkanen; Kodono, Juliana Tiemi Oda; Stern, Rafael Bassi; Alves, Tamires Vieira; ","Relatório de análise estatística sobre o projeto"" Análise quimiométrica de seletividade nos sítios ativos de cisteíno proteases da família da papaína para o estudo de substâncias antiparasitárias e antineoplásicas""",,,,,2023,
"Izbicki, Rafael; Cabezas, Luben; Colugnatti, Fernando AB; Lassance, Rodrigo FL; de Souza, Altay AL; Stern, Rafael B; ",REACT to NHST: Sensible conclusions to meaningful hypotheses,arXiv preprint arXiv:2308.09112,,,,2023,
"Dorigo, Tommaso; Aehle, Max; Donini, Julien; Doro, Michele; Gauger, Nicolas R; Izbicki, Rafael; Lee, Ann; Masserano, Luca; Nardi, Federico; Shen, Alexander; ",End-to-end optimization of the layout of a gamma ray observatory,arXiv preprint arXiv:2310.01857,,,,2023,
"Ferreira, Ricardo Felipe; ",Cadeias estocásticas de memória ilimitada com aplicação na neurociência,,,,,2019,
"Ferreira, Ricardo Felipe; ",Concentration bounds for plug-in estimator of directed information,IEEE Transactions on Information Theory,67,8,4939-4947,2021,IEEE
"Ferreira, Ricardo Felipe; ",Uma aproximação do tipo Euller-Maruyama para o processo de Cox-Ingersoll-Ross,,,,,2015,
"Ramalho, José Carlos; Taveira, Pedro; Ferreira, Ricardo; Rocha, Vasco; ",Gerador de web services para cadeias de transformações de documentos xml,"XATA2004, XML Aplicações e Tecnologias Associadas, 2a Conferência Nacional",,,,2004,
"Ferreira, Ricardo F; Gallo, Sandro; Paccaut, Frédéric; ",Non-regular g-measures and variable length memory chains,Nonlinearity,33,11,6026,2020,IOP Publishing
"Lassance, Rodrigo; Stern, Rafael Bassi; ",Avoiding the Pitfalls of Testing Sharp Hypotheses: The Nonparametric Case,,,,,2022,Galoá
"Montoril, Michel H; Correia, Leandro T; Migon, Helio S; ",Dynamic Weights in Gaussian Mixture Models: A Bayesian Approach,arXiv preprint arXiv:2104.03395,,,,2021,
"Cabezas, Luben Miguel Cruz; Otto, Mateus Piovezan; Izbicki, Rafael; Stern, Rafael Bassi; ",Toward local and valid uncertainty estimation in machine learning,Livro de Resumos,,,,2023,
"Shen, Alex; Masserano, Luca; Izbicki, Rafael; Dorigo, Tommaso; Doro, Michele; Lee, Ann B; ",Classification under Prior Probability Shift in Simulator-Based Inference: Application to Atmospheric Cosmic-Ray Showers,,,,,,
"Dheur, Victor; Bosser, Tanguy; Izbicki, Rafael; Ben Taieb, Souhaib; ",Distribution-free conformal joint prediction regions for neural marked temporal point processes,Machine Learning,113,9,7055-7102,2024,Springer US New York
"Silva, Alexandre Felix da; Maciel, Emanuel Hark; Aragão, Emerson da Silva; Stern, Rafael Bassi; Fossaluza, Victor; ","Relatório de análise estatística sobre o projeto"" Risco de perda em ações judiciais""",,,,,2023,
"Masserano, Luca; Shen, Alex; Doro, Michele; Dorigo, Tommaso; Izbicki, Rafael; Lee, Ann B; ",Classification under nuisance parameters and generalized label shift in likelihood-free inference,arXiv preprint arXiv:2402.05330,,,,2024,
"Cabezas, Luben MC; Otto, Mateus P; Izbicki, Rafael; Stern, Rafael B; ",Regression trees for fast and adaptive prediction intervals,Information Sciences,686,,121369,2025,Elsevier
"Inácio, MH de A; Izbicki, Rafael; ",Conditional density estimation using Fourier series and neural networks,"Symposium on Knowledge Discovery, Mining and Learning (KDMiLe)",,,41-48,2018,SBC
"Seidenfeld, Teddy; Kadane, Joseph B; Schervish, Mark J; Stern, Rafael B; ","Finite Additivity, Complete Additivity, and the Comparative Principle",Erkenntnis,,,1-24,2024,Springer Netherlands
"Dalmasso, Niccolò; Masserano, Luca; Zhao, David; Izbicki, Rafael; Lee, Ann B; ",Likelihood-free frequentist inference: Bridging classical statistics and machine learning for reliable simulator-based inference,Electronic Journal of Statistics,18,2,5045-5090,2024,The Institute of Mathematical Statistics and the Bernoulli Society
"Dey, Biprateep; Zhao, David; Newman, Jeffrey A; Andrews, Brett H; Izbicki, Rafael; Lee, Ann B; ",Conditionally calibrated predictive distributions by probability-probability map: application to galaxy redshift estimation and probabilistic forecasting,arXiv preprint arXiv:2205.14568,,,,2022,
"Lassance, Rodrigo FL; Izbicki, Rafael; Stern, Rafael B; ",PROTEST: Nonparametric Testing of Hypotheses Enhanced by Experts' Utility Judgements,arXiv preprint arXiv:2403.05655,,,,2024,
"Nakazono, L; R Valença, R; Soares, G; Izbicki, Rafael; Ivezić, Željko; R Lima, EV; T Hirata, NS; Sodré Jr, L; Overzier, Roderik; Almeida-Fernandes, F; ",The Quasar Catalogue for S-PLUS DR4 (QuCatS) and the estimation of photometric redshifts,Monthly Notices of the Royal Astronomical Society,531,1,327-339,2024,Oxford University Press
"Csillag, Daniel; Paes, Lucas Monteiro; Ramos, Thiago; Romano, João Vitor; Schuller, Rodrigo; Seixas, Roberto B; Oliveira, Roberto I; Orenstein, Paulo; ",AmnioML: amniotic fluid segmentation and volume prediction with uncertainty quantification,Proceedings of the AAAI Conference on Artificial Intelligence,37,13,15494-15502,2023,
"Csillag, Daniel; Piazza, Carolina; Ramos, Thiago; Romano, João Vitor; Oliveira, Roberto I; Orenstein, Paulo; ",ExactBoost: Directly Boosting the Margin in Combinatorial and Non-decomposable Metrics,International Conference on Artificial Intelligence and Statistics,,,9017-9049,2022,PMLR
"Orofino, Dulce Helena Gonçalves; Passos, Sonia Regina Lambert; Pone, Sheila Moura; Pone, Marcos Vinícius da Silva; Aguiar, Elisa Barroso de; Araújo, Igo Oliveira de; Ramos, Thiago Moreira; Silva, Letícia Machado Lima E; Oliveira, Bruna Menezes de; Silva, Luan Noé da; ",24-hour Holter findings in infants with in-utero exposure to the Zika virus: a series of cases,Revista do Instituto de Medicina Tropical de São Paulo,62,,e50,2020,Instituto de Medicina Tropical
"Csillag, Daniel; Piazza, Carolina; Ramos, Thiago; Romano, João Vitor; Oliveira, Roberto; Orenstein, Paulo; ",Optimizing Combinatorial and Non-decomposable Metrics with ExactBoost,,,,,,
"Orofino, Dulce Helena Gonçalves; Passos, Sonia Regina Lambert; Leite, Maria de Fatima Moreira Pereira; Farias, Carla Verona Barreto; Ramos, Thiago Moreira; e Silva, Leticia Machado Lima; Oliva, Raffaela Andrade; Oliveira, Raquel de Vasconcellos Carvalhaes; ",Reliability of Echocardiographic Measurements in Infants Exposed to Zika Virus.,,,,,2020,
"Orofino, Dulce Helena Gonçalves; Passos, Sonia Regina Lambert; Pone, Sheila Moura; Pone, Marcos Silva; de Aguiar, Elisa Barroso; de Araújo, Igo Oliveira; Ramos, Thiago Moreira; e Silva, Leticia Machado Lima; Menezes, Bruna; da Silva, Luan Noé; ",24-hour Holter findings in infants with in utero exposure to Zika virus: a cross-sectional study.,,,,,2019,
"Ramos, Thiago; Schuller, Rodrigo Loro; Okuno, Alex Akira; Nissenbaum, Lucas; Oliveira, Roberto I; Orenstein, Paulo; ",BlockBoost: Scalable and Efficient Blocking through Boosting,International Conference on Artificial Intelligence and Statistics,,,2575-2583,2024,PMLR
"Csillag, Daniel; Monteiro, Lucas; Ramos, Thiago; Romano, Joao Vitor; Schuller, Rodrigo; Oliveira, Roberto I; Seixas, Roberto B; Orenstein, Paulo; ",Uncertainty Quantification for Amniotic Fluid Segmentation and Volume Prediction,,,,,,
"Oliveira, Roberto I; Orenstein, Paulo; Ramos, Thiago; Vitor Romano, João; ",Split conformal prediction for dependent data,arXiv e-prints,,,arXiv: 2203.15885,2022,
"Lassance, Rodrigo FL; Stern, Julio M; Stern, Rafael B; ",Nonparametric FBST for Validating Linear Models,arXiv preprint arXiv:2406.15608,,,,2024,
"Valle, Denis; Haneda, Leo; Izbicki, Rafael; Kamimura, Renan Akio; de Azevedo, Bruna Pereira; Gomes, Silvio HM; Sanchez, Arthur; Silva, Carlos A; Almeida, Danilo RA; ",Nonparametric quantification of uncertainty in multistep upscaling approaches: A case study on estimating forest biomass in the Brazilian Amazon,Science of Remote Sensing,11,,100180,2025,Elsevier
"Valle, Denis; Leite, Rodrigo; Izbicki, Rafael; Silva, Carlos; Haneda, Leo; ",Local uncertainty maps for land-use/land-cover classification without remote sensing and modeling work using a class-conditional conformal approach,International Journal of Applied Earth Observation and Geoinformation,135,,104288,2024,Elsevier
"Silva, João Flávio Andrade; Izbicki, Rafael; Bastos, Leonardo S; Soares, Guilherme P; ",Monitoring viral infections in severe acute respiratory syndrome patients in Brazil,International Workshop on Statistical Modelling,,,75-80,2024,Springer Nature Switzerland Cham
"Oliveira, Roberto I; Orenstein, Paulo; Ramos, Thiago; Romano, João Vitor; ",Split conformal prediction and non-exchangeable data,Journal of Machine Learning Research,25,225,1-38,2024,
"Fröhlich, Alek; Ramos, Thiago; Dos Santos, Gustavo Motta Cabello; Buzatto, Isabela Panzeri Carlotti; Izbicki, Rafael; Tiezzi, Daniel Guimaraes; ",PersonalizedUS: Interpretable Breast Cancer Risk Assessment with Local Coverage Uncertainty Quantification,Proceedings of the AAAI Conference on Artificial Intelligence,39,27,27998-28006,2025,
"Xiao, Yang; Soares, Guilherme; Bastos, Leonardo; Izbicki, Rafael; Moraga, Paula; ",Dengue nowcasting in Brazil by combining official surveillance data and Google Trends information,medRxiv,,,2024.09. 02.24312934,2024,Cold Spring Harbor Laboratory Press
"Gomes, Izadora de Geus Monteiro; Peixoto, Nara Gabriela de Mesquita; Monteiro, Leonardo Marques; Stern, Rafael Bassi; ","Relatório de análise estatística sobre o projeto"" Influência do ambiente construído nos níveis sonoros e percepção de conforto acústico nos espaços públicos na cidade de São Paulo""",,,,,2024,
"Comito, Mateus Borges; Izbicki, Rafael; Hubert, Paulo do Canto; Moura, Filipe; ",Optimizing Construction Schedules: Nonparametric Modeling of Weather-Induced Delays,Available at SSRN 4968825,,,,,
"Assunção, Gabriel O; Izbicki, Rafael; Prates, Marcos O; ",Is Augmentation Effective in Improving Prediction in Imbalanced Datasets?,Journal of Data Science,,,1-16,2024,"School of Statistics, Renmin University of China"
"Lassance, Rodrigo FL; Izbicki, Rafael; Stern, Rafael B; ",Adding imprecision to hypotheses: A Bayesian framework for testing practical significance in nonparametric settings,International Journal of Approximate Reasoning,178,,109332,2025,Elsevier
"Cabezas, Luben; Soares, Guilherme P; Ramos, Thiago R; Stern, Rafael B; Izbicki, Rafael; ",Distribution-Free Calibration of Statistical Confidence Sets,arXiv preprint arXiv:2411.19368,,,,2024,
"Otto, Mateus P; Izbicki, Rafael; ",RFFNet: Large-Scale Interpretable Kernel Methods via Random Fourier Features,arXiv preprint arXiv:2211.06410,,,,2022,
"Campos, Bruno Kinsch de Lara; Gallo, Daniel Monteiro; Stern, Rafael Bassi; ","Relatório de análise estatística sobre o projeto"" Multilateralismo, regionalismo e democracia: o uso das estratégias de shaming nas missões de observação eleitoral da OEA""",,,,,2024,
"Dorigo, Tommaso; Doro, Michele; Aehle, Max; Gauger, Nicolas R; Awais, Muhammad; Izbicki, Rafael; Kieseler, Jan; Masserano, Luca; Nardi, Federico; Vergara, Luis Recabarren; ",On the Utility Function of Experiments in Fundamental Science,arXiv preprint arXiv:2501.13544,,,,2025,
"Inácio, Marco Henrique de Almeida; ","Conditional independence testing, two sample comparison and density estimation using neural networks",,,,,2020,
"Cabezas, Luben; Santos, Vagner S; Ramos, Thiago R; Izbicki, Rafael; ",Epistemic Uncertainty in Conformal Scores: A Unified Approach,arXiv preprint arXiv:2502.06995,,,,2025,
"Dos Santos, Hellen Geremias; do Nascimento, Carla Ferreira; Izbicki, Rafael; de Oliveira Duarte, Yeda Aparecida; Chiavegatto Filho, Alexandre Dias Porto; ","Machine learning for predictive analyses in health: an example of an application to predict death in the elderly in Sao Paulo, Brazil",Cadernos de saude publica,35,7,e00050818,2019,
"Dorigo, Tommaso; Aehle, Max; Arcaro, Cornelia; Awais, Muhammad; Bergamaschi, Fabiola; Donini, Julien; Doro, Michele; Gauger, Nicolas R; Izbicki, Rafael; Kieseler, Jan; ",Toward the End-To-End Optimization of the SWGO Array Layout,arXiv e-prints,,,arXiv: 2310.01857,2023,
"Stern, Rafael Bassi; ",Diagramas de influÃªncia e teoria estatÃstica,,,,,2008,Universidade de SÃ£ o Paulo
"Montoril, Michel Helcias; ",Intervalos de confianÃ § a para altos quantis oriundos de distribuiÃ § Ãµes de caudas pesadas,,,,,2009,Universidade de SÃ£ o Paulo
"Santos, HG; Nascimento, CF; Izbicki, R; Duarte, YAO; Chiavegatto Filho, ADP; ","Machine learning for predictive analyses in health: an example of an application to predict death in the elderly in Sao Paulo, Brazil (vol 35, e00050818, 2019)",CADERNOS DE SAUDE PUBLICA,36,1,,2020,"CADERNOS SAUDE PUBLICA RUA LEOPOLDO BUHOES 1480, RIO DE JANIERO, RJ …"
"Motta, Flávia Castro; Montoril, Michel H; ",A Bayesian estimation approach for the wavelet-based mixture regression,Communications in Statistics-Simulation and Computation,,,1-9,2025,Taylor & Francis
"Martins, Thomas Correa; Diniz, Marcio Alves; Montoril, Michel Helcias; ",Bayesian inference for term structure models,,,,,2022,
"Stern, R; d'Alencar, M; Uscapi, Y; Gubitoso, M; Roque, A; Helene, A; Piemonte, M; ",Goalkeeper Game: a new assessment tool for prediction of gait performance under complex condition in people with Parkinson's disease: 1432,Movement Disorders,35,,S666,2020,
"Lassance, Rodrigo FL; Izbicki, Rafael; Stern, Rafael B; ",Adding imprecision to hypotheses: A Bayesian framework for testing practical significance in nonparametric settings,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,178,,25,2024,
"Corrêa, Fernando; Stern, Rafael Bassi; Stern, Julio Michael; ",Kullback-Leibler Consistency of $ p $-dimensional P\'olya Tree Posteriors and Differential Entropy Estimation,arXiv preprint arXiv:2504.02950,,,,2025,
