Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ianishi, Paula; Izbicki, Rafael; ",Classificação Morfológica de Galáxias em Conjuntos de Dados Desbalanceados,TEMA (São Carlos),18,1,155-172,2017,Sociedade Brasileira de Matemática Aplicada e Computacional
"Stern, Rafael Bassi; ",Diagramas de influência e teoria estatística,,,,,2009,
"Chkrebtii, Oksana A; Stern, Rafael B; Louzada, Francisco; Leman, Scotland; Hoegh, Andrew; Entezari, Reihaneh; Craiu, Radu V; Rosenthal, Jeffrey S; Mohammadi, Abdolreza; Kaptein, Maurits; ",Contributed discussion on article by Pratola,,,,,2016,
"Barcelos-Ferreira, Ricardo; Izbicki, Rafael; Steffens, David C; Bottino, Cássio MC; ",Depressive morbidity and gender in community-dwelling Brazilian elderly: systematic review and meta-analysis,International Psychogeriatrics,22,5,712-726,2010,Cambridge University Press
"Esteves, Luís Gustavo; Izbicki, Rafael; Stern, Rafael Bassi; ",Teaching decision theory proof strategies using a crowdsourcing problem,The American Statistician,71,4,336-343,2017,Taylor & Francis
"de Carvalho Ceregatti, Rafael; Izbicki, Rafael; Bueno Salasar, Luis Ernesto; ",WIKS: a general Bayesian nonparametric index for quantifying differences between two populations,Test,30,1,274-291,2021,Springer Berlin Heidelberg Berlin/Heidelberg
"Izbicki, Rafael; Fossaluza, Victor; Hounie, Ana Gabriela; Nakano, Eduardo Yoshio; de Bragança Pereira, Carlos Alberto; ",Testing allele homogeneity: the problem of nested hypotheses,BMC genetics,13,,1-11,2012,BioMed Central
"Aprahamian, Ivan; Sassaki, Eduardo; Dos Santos, Marília F; Izbicki, Rafael; Pulgrossi, Rafael C; Biella, Marina M; Borges, Ana Camila N; Sassaki, Marcela M; Torres, Leonardo M; Fernandez, Ícaro S; ",Hypertension and frailty in older adults,The Journal of Clinical Hypertension,20,1,186-192,2018,
"Izbicki, Rafael; Esteves, Luís Gustavo; ",Análise de dados circulares,"IV Simpósio de Iniciação Científica e Pós-Graduação do IME-USP, São Paulo. Atas",,,69-74,2008,
"Bonassi, Fernando V; Stern, Rafael B; Peixoto, Cláudia M; Wechsler, Sergio; ",Exchangeability and the law of maturity,Theory and Decision,78,,603-615,2015,Springer US
"Stern, Rafael; ",The rest of Sleeping Beauty,Online. Accessed Sept,4,,2014,2013,
"Cisewski, Jessi; Kadane, Joseph B; Schervish, Mark J; Seidenfeld, Teddy; Stern, Rafael; ",Standards for modest Bayesian credences,Philosophy of Science,85,1,53-78,2018,Cambridge University Press
"Izbicki, Rafael; Lee, Ann B; ",Appendix of “Nonparametric Conditional Density Estimation in a High-Dimensional Regression Setting”,,,,,,
